pk,name,description,doc_type,par,task_group,task_group_url,doc_format,doc_version,baseline,order,par_date,par_expiry,initial_wg_ballot,recirc_wg_ballot,sb_form_date,sb_formed,initial_sb_ballot,recirc_sb_ballot,mec_date,mec_completed,wg_approval_date,ec_approval_date,revcom_approval_date,ansi_approval_date,withdrawn_date,withdrawn,history,wg_approved,ec_approved,published
111,802.11-1997,IEEE Standard for Wireless LAN Medium Access Control MAC and Physical Layer PHY Specifications,STD,,MAC/PHY,,N/A,,,1,1991-03-21,,,,,False,,,,True,,,1997-06-26,,1999-07-15,True,,True,True,True
128,802.11a-1999,Higher Speed PHY Extension in the 5GHz Band,A,,TGa,,N/A,,130,1,1997-09-16,,1998-11-27,1999-02-02,,True,1999-04-01,1999-06-01,,True,,,1999-09-16,2000-02-04,,True,,True,True,True
126,802.11c-1998,Media Access Control MAC Bridges - Supplement for Support by IEEE 802.11,A,,TGc,,N/A,,,1,1997-12-09,,,,,True,,,,True,,,1998-09-16,2000-02-04,,False,,True,True,True
127,802.11b-1999,Higher Speed PHY Extension in the 2.4 GHz Band,A,,TGb,,N/A,,130,2,1997-12-09,,1998-09-30,1998-11-27,,False,1999-04-01,1999-06-01,,True,,,1999-09-16,,,True,,True,True,True
130,802.11-1999,Part II Wireless LAN Medium Access Control MAC and Physical Layer PHY Specifications,STD,,MAC/PHY,,N/A,,,0,1997-12-09,,,,,True,,,,True,,,1999-03-18,1999-07-15,2005-09-30,True,,True,True,True
125,802.11d-2001,Operation in Additional Regulatory Domains,A,,TGd,,N/A,,130,3,1999-06-26,,1999-11-27,2000-03-27,2001-11-29,True,2001-01-31,2001-04-03,,True,,,2001-06-14,2001-10-25,,True,,True,True,True
343,802.11b Cor1-2001,Corrigenda to IEEE 802.11b-1999,COR,,TGb-Cor1,,,,130,2,1999-11-27,,2000-01-01,2000-10-18,,True,,,,True,,,2001-10-10,2002-01-30,,True,,True,True,True
124,802.11e-2005,MAC Enhancements QoS,A,,TGe,,N/A,,130,8,2000-03-30,,2001-04-05,2003-08-01,2003-08-15,False,2004-04-07,2004-08-06,,True,2005-07-22,2005-07-22,2005-09-22,,,True,,True,True,True
129,802.11f-2003,Inter-Access Point Protocol Across Distribution Systems Supporting IEEE 802.11 Operation,RP,,TGf,,N/A,,,1,2000-03-30,,2001-04-05,2002-05-08,2002-07-27,True,2002-09-18,2002-12-04,,True,,,2003-06-12,,2006-02-03,True,,True,True,True
123,802.11g-2003,Further Higher Data Rate Extension in the 2.4 GHz Band,A,,TGg,,N/A,,130,4,2000-09-21,,2002-01-31,2002-10-17,2002-07-25,True,2003-02-06,2003-03-25,,True,,,2003-06-12,2003-10-20,,True,,True,True,True
122,802.11h-2003,Spectrum and Transmit Power Management Extensions in the 5 GHz Band in Europe,A,,TGh,,N/A,,130,5,2000-12-07,,2001-07-25,2002-07-23,2002-07-25,True,2002-12-12,2003-04-15,,True,,,2003-09-11,2003-12-29,,True,,True,True,True
121,802.11i-2004,MAC Security Enhancements,A,,TGi,,N/A,,130,6,2001-05-30,,2001-04-05,2003-05-22,2003-08-10,True,2003-11-20,2004-02-26,,True,,,2004-06-24,2005-02-14,,True,,True,True,True
119,802.11k-2008,Radio Resource Measurement,A,,TGk,,N/A,,59,1,2002-12-11,,2004-08-02,2006-03-16,2005-11-14,False,2007-07-11,2007-09-24,2007-04-10,True,,,2008-05-09,,,False,,True,True,True
120,802.11j-2004,4.9 GHz-5 GHz Operation in Japan,A,,TGj,,N/A,,130,7,2002-12-11,,2003-04-01,2004-02-04,2004-05-13,True,2004-06-02,2004-07-30,,True,,,2004-09-23,2005-02-02,,True,,True,True,True
59,802.11-2007,802.11 Standard Maintenance  Revision,STD,,TGma,,N/A,,130,10,2003-03-20,2003-03-20,2005-03-29,2005-07-07,2005-08-21,True,2005-10-21,2006-04-10,2005-08-21,True,2006-11-08,2006-11-08,2007-03-08,,,False,,True,True,True
74,802.11n-2009,High Throughput,A,http://standards.ieee.org/board/nes/projects/802-11n.pdf,TGn,http://grouper.ieee.org/groups/802/11/Reports/tgn_update.htm,,,59,3,2003-09-11,2007-09-27,2006-03-19,2007-10-07,2008-12-11,True,2008-12-11,2009-03-06,2008-12-11,True,,,2009-09-11,,,False,,True,True,True
40,802.11s-xxxx,Mesh Networking,A,http://standards.ieee.org/board/nes/projects/802-11s.pdf,TGs,http://grouper.ieee.org/groups/802/11/Reports/tgs_update.htm,Frame/PDF,7.00,38,1,2004-05-13,2010-12-31,2006-12-07,2009-12-09,2010-09-12,True,2010-10-02,2010-12-15,2010-09-29,True,2011-03-01,2011-03-01,2011-06-01,,,False,,False,False,False
117,802.11p-2010,Wireless Access for the Vehicular Environment,A,http://standards.ieee.org/board/nes/projects/802-11p.pdf,TGp,http://grouper.ieee.org/groups/802/11/Reports/tgp_update.htm,N/A,,59,6,2004-09-23,,2006-03-02,2008-05-12,2009-06-01,True,2009-10-23,2010-02-01,2008-06-19,True,,,2010-07-15,,,False,,True,True,True
64,802.11u-xxxx,InterWorking with External Networks,A,http://standards.ieee.org/board/nes/projects/802-11u.pdf,TGu,http://grouper.ieee.org/groups/802/11/Reports/tgu_update.htm,Frame/PDF,12.00,59,9,2004-12-08,2010-12-31,2007-06-08,2008-09-23,2009-06-01,True,2009-11-07,2010-04-08,2009-07-12,True,2010-07-01,2010-07-01,2010-12-01,,,False,02/05/2008,False,False,False
71,802.11v-xxxx,Wireless Network Management,A,http://standards.ieee.org/board/nes/projects/802-11v.pdf,TGv,http://grouper.ieee.org/groups/802/11/Reports/tgv_update.htm,Frame/PDF,15.00,59,8,2004-12-08,2010-12-31,2007-07-31,2009-04-04,2009-06-01,True,2009-11-07,2010-01-29,2009-07-12,True,2010-11-01,2010-11-01,2010-12-01,,,False,,False,False,False
115,802.11w-2009,Protected Management Frames,A,http://standards.ieee.org/board/nes/projects/802-11w.pdf,TGw,http://grouper.ieee.org/groups/802/11/Reports/tgw_update.htm,N/A,,59,4,2005-03-20,,2006-10-10,2007-04-18,2007-11-13,True,2008-08-22,2009-01-18,,True,,,2009-09-11,,,False,,True,True,True
38,802.11-xxxx,802.11 Accumulated Maintenance Changes,STD,http://standards.ieee.org/board/nes/projects/802-11mb.pdf,TGmb,http://grouper.ieee.org/groups/802/11/Reports/tgm_update.htm,Frame/PDF,6.00,59,10,2007-03-22,2011-12-31,2009-05-18,2009-12-10,2010-09-14,True,2010-09-21,2010-12-01,2010-09-01,True,2011-11-01,2011-11-01,2011-12-01,,,False,,False,False,False
113,802.11z-2010,Extensions to Direct Link Setup,A,http://standards.ieee.org/board/nes/projects/802-11z.pdf,TGz,http://grouper.ieee.org/groups/802/11/Reports/tgz_update.htm,Word/PDF,13.00,59,7,2007-08-22,,2008-04-03,2009-03-05,2009-06-01,True,2009-11-06,2010-02-12,2009-06-18,True,,,2010-10-01,,,False,,True,True,True
80,802.11aa-xxxx,Video Transport Streams,A,https://development.standards.ieee.org/get-file/P802.11aa.pdf?t=21206700024,TGaa,http://grouper.ieee.org/groups/802/11/Reports/tgaa_update.htm,Word/PDF,1.00,38,4,2008-03-27,,2010-06-10,2010-09-01,2011-03-01,False,2011-07-01,2011-11-01,2011-03-01,False,2011-11-01,2012-01-01,2012-03-01,,,False,,False,False,False
79,802.11ac-xxxx,Very High Throughput 6GHz,A,https://development.standards.ieee.org/get-file/P802.11ac.pdf?t=26465400024,TGac,http://grouper.ieee.org/groups/802/11/Reports/tgac_update.htm,None,,38,5,2008-09-26,,2010-11-01,2011-03-01,2011-09-01,False,2011-12-01,2012-03-01,2011-11-01,False,2012-07-01,2012-07-01,2012-12-01,,,False,,False,False,False
78,802.11ad-xxxx,Very High Throughput 60GHz,A,https://development.standards.ieee.org/get-file/P802.11ad.pdf?t=29195900024,TGad,http://grouper.ieee.org/groups/802/11/Reports/tgad_update.htm,D1.0,,38,6,2008-12-10,,2010-09-24,2011-05-01,2011-09-01,False,2011-12-01,2012-03-01,2011-10-01,False,2012-07-01,2012-07-01,2012-12-01,,,False,,False,False,False
114,802.11y-2008,3650-3700 MHz Operation in USA,A,,TGy,,N/A,,59,3,2008-12-31,,2006-12-08,2007-04-19,2007-06-20,True,2007-12-21,2008-02-27,2007-07-28,True,,,2008-11-06,,,False,,True,True,True
116,802.11r-2008,Fast Roaming,A,,TGr,,N/A,,59,2,2008-12-31,,2005-11-25,2006-03-15,2007-06-16,False,2007-07-31,2007-09-27,2007-04-11,True,,,2008-05-09,,,False,,True,True,True
334,802.11.2,Wireless Performance,RP,,TGt,,,,,0,2008-12-31,,2007-04-16,,,False,,,,False,,,,,,True,,False,False,False
55,802.11ae-xxxx,QoS Manangement,A,http://development.standards.ieee.org/get-file/802-11ae.pdft41492500024,TGae,http://grouper.ieee.org/groups/802/11/Reports/tgae_update.htm,,1.00,38,2,2009-12-09,2010-10-15,2010-09-27,2010-10-15,2011-03-01,False,2010-10-15,2010-10-15,2011-03-01,False,2011-11-01,2011-11-01,2012-03-01,,,False,,False,False,False
77,802.11af-xxxx,TV Whitespace,A,http://development.standards.ieee.org/get-file/802-11af.pdf?t=41492700024,TGaf,http://grouper.ieee.org/groups/802/11/Reports/tgaf_update.htm,,0.05,38,3,2009-12-09,,2010-11-01,2011-01-01,2011-03-01,False,2011-05-01,2011-07-01,2011-03-01,False,2011-11-01,2011-11-01,2011-12-01,,,False,,False,False,False
76,802.11ah-xxxx,Sub 1 GHz,A,http://development.standards.ieee.org/get-file/802-11ah.pdf?t=41492700024,TGah,http://grouper.ieee.org/groups/802/11/Reports/s1g_update.htm,None,,38,7,2010-10-04,,2011-07-01,2011-11-01,2012-05-01,False,2012-07-01,2012-10-01,2012-05-01,False,2013-05-01,2013-05-01,2013-07-01,,,False,,False,False,False

number,project_id,draft,opened,closed,ballot_type,result,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project.task_group
101,334,1.00,2007-04-16,2007-05-16,WI,76,307,163,52,57,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB101T/Letter-Ballot-101-Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11T/Draft-P802.11.2_D1.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB101T/LB101_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB101T/Voters-List-LB101.xls,TGt
102,115,2.00,2007-04-07,2007-05-02,WR,89,427,227,29,61,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB102w/Letter%20Ballot%20102%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/Draft%20P802.11w_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/index.html,http://www.ieee802.org/11/LetterBallots/LB102w/LB102_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB102w/Voters-List-LB102.xls,TGw
103,119,7.00,2007-04-18,2007-05-05,WR,92,514,363,29,39,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB103k/Letter%20Ballot%20103%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/Draft%20P802.11k_D7.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11k/index.html,http://www.ieee802.org/11/LetterBallots/LB103k/LB103_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB103k/Voters-List-LB103.xls,TGk
104,114,2.00,2007-04-19,2007-05-05,WR,84,347,221,41,62,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB104y/Letter%20Ballot%20104%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D2.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://www.ieee802.org/11/LetterBallots/LB104y/LB104_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB104y/Voters-List-LB104.xls,TGy
105,116,6.00,2007-05-28,2007-06-13,WR,97,518,360,11,65,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB105r/Letter%20Ballot%20105%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/Draft%20P802.11r_D6.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11r/index.html,http://www.ieee802.org/11/LetterBallots/LB105r/LB105_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB105r/Voters-List-LB105.xls,TGr
106,114,3.00,2007-06-05,2007-06-20,WR,91,347,242,24,60,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB106y/Letter%20Ballot%20106%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D3.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/index.html,http://www.ieee802.org/11/LetterBallots/LB106y/LB106_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB106y/Voters-List-LB106.xls,TGy
107,64,1.00,2007-06-08,2007-07-08,WI,64,299,111,62,48,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB107u/Letter%20Ballot%20107%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/Draft%20P802.11u_D1.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11u/index.html,http://www.ieee802.org/11/LetterBallots/LB107u/LB107_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB107u/Voters-List-LB107.xls,TGu
108,71,1.00,2007-07-31,2007-08-30,WI,63,278,132,77,38,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB108v/Letter%20Ballot%20108%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11v/Draft%20P802.11v_D1.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB108v/LB108_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB108v/Voters-List-LB108.xls,TGv
109,114,4.00,2007-08-06,2007-08-21,WR,93,347,250,17,60,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB109y/Letter%20Ballot%20109%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11y/11-07-2268-00-000y-tgy-redline-between%20Draft%204.0%20and%203.0.pdf,http://www.ieee802.org/11/LetterBallots/LB109y/11-07-2019-06-000y-d3-comments.xls,http://www.ieee802.org/11/LetterBallots/LB109y/LB109_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB109y/Voters-List-LB109.xls,TGy
110,117,3.00,2007-08-13,2007-09-12,WI,74,278,143,50,58,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB110p/Letter%20Ballot%20110%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11p/Draft%20P802.11p_D3.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB110p/LB110_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB110p/Voters-List-LB110.xls,TGp
111,119,0.00,2007-08-27,2007-09-11,WI,89,278,196,22,35,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB111k/Letter%20Ballot%20111%20Instructions.htm,https://mentor.ieee.org/802.11/public/07/11-07-2289-05-000k-tgk-sponsor-ballot-comment-resolutions.xls,,,http://www.ieee802.org/11/LetterBallots/LB111k/LB111_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB111k/Voters-List-LB111.xls,TGk
112,114,5.00,2007-09-28,2007-10-13,WR,95,347,257,11,59,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB112y/Letter%20Ballot%20112%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11y/Draft%20P802.11y_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11y/11-07-2607-00-000y-tgy-redline-between-Draft-5.0-and-4.0.pdf,http://www.ieee802.org/11/LetterBallots/LB112y/11-07-2333-07-000y-d4-comments.xls,http://www.ieee802.org/11/LetterBallots/LB112y/LB112_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB112y/Voters-List-LB112.xls,TGy
114,115,3.00,2007-10-04,2007-10-19,WR,92,427,245,21,59,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB114w/Letter%20Ballot%20114%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/Draft%20P802.11w_D3.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11w/11-07-2562-00-000w-D3.0-v-2.0-redline.pdf,http://www.ieee802.org/11/LetterBallots/LB114w/11-07-0714-13-000w-lb-102-comment-resolution-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB114w/LB114_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB114w/Voters-List-LB114.xls,TGw
115,74,3.00,2007-10-07,2007-10-27,WR,84,325,240,43,27,,,http://grouper.ieee.org/groups/802/11/LetterBallots/LB115n/Letter%20Ballot%20115%20Instructions.htm,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11n/Draft%20P802.11n_D3.0.pdf,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11n/index.html,http://grouper.ieee.org/groups/802/11/private/Draft_Standards/11n/index.html,http://www.ieee802.org/11/LetterBallots/LB115n/LB115_CommentForm.xls,http://ieee802.org/11/LetterBallots/LB115n/Voters-List-LB115.xls,TGn
